yes,yes,yes,no,no,8,Polanui,LLHS,,,,OLP,OLP160921,2072,Launiupoko,2016-09-21,09:05,,,,,,,,,,OLP160921,27.7,34.9,6.36,97.8,8.11,10.26,10.26,10.26
yes,yes,yes,no,no,8,Polanui,LLHS,,,,OSF,OSF160921,2027,Olowalu Pier,2016-09-21,09:36,,,,,,,,,,OSF160921,27.6,34.8,6.58,101.2,8.17,2.35,2.35,2.35
yes,yes,yes,no,no,9,Polanui,LLHS,,,,PFF,PFF161005,2022,505 Front St,2016-10-05,08:16,,,,,,,,,,PFF161005,27.6,35.5,5.9,91.3,7.79,3.32,3.32,3.32
yes,yes,yes,no,no,9,Polanui,LLHS,,,,PLH,PLH161005,2023,Lindsey Hale,2016-10-05,08:48,,,,,,,,,,PLH161005,27.8,35.4,5.44,84.3,7.89,14.73,14.73,14.73
yes,yes,yes,no,no,9,Polanui,LLHS,,,,PLT,PLT161005,2024,Lahaina Town,2016-10-05,09:10,,,,,,,,,,PLT161005,28.2,36,5.53,86.4,7.87,20.37,20.37,20.37
yes,yes,yes,no,no,9,Polanui,LLHS,,,,PPU,PPU161005,2025,Puamana,2016-10-05,09:35,,,,,,,,,,PPU161005,28.3,36.5,6.42,100.6,8.11,2.61,2.61,2.61
yes,yes,yes,no,no,9,Polanui,LLHS,,,,OLP,OLP161005,2072,Launiupoko,2016-10-05,10:00,,,,,,,,,,OLP161005,28.8,37.3,6.45,102.4,7.97,3.36,3.36,3.36
yes,yes,yes,no,no,9,Polanui,LLHS,,,,OSF,OSF161005,2027,Olowalu Pier,2016-10-05,10:23,,,,,,,,,,OSF161005,28.8,37.2,6.73,106.9,7.99,2.07,2.07,2.07
yes,yes,yes,no,no,10,Polanui,LLHS,,,,PFF,PFF161019,2022,505 Front St,2016-10-19,08:21,,,,,,,,,,PFF161019,27.1,33.5,6.26,94.5,8.09,8.22,8.22,8.22
yes,yes,yes,no,no,10,Polanui,LLHS,,,,PLH,PLH161019,2023,Lindsey Hale,2016-10-19,08:51,,,,,,,,,,PLH161019,27.2,34,6.12,92.9,8.03,40.7,40.7,40.7
yes,yes,yes,no,no,10,Polanui,LLHS,,,,PLT,PLT161019,2024,Lahaina Town,2016-10-19,09:13,,,,,,,,,,PLT161019,27.5,33.9,6,91.5,7.98,43.67,43.67,43.67
yes,yes,yes,no,no,10,Polanui,LLHS,,,,PPU,PPU161019,2025,Puamana,2016-10-19,09:40,,,,,,,,,,PPU161019,27.7,34.6,6.49,99.7,8.15,6.04,6.04,6.04
yes,yes,yes,no,no,10,Polanui,LLHS,,,,OLP,OLP161019,2072,Launiupoko,2016-10-19,10:01,,,,,,,,,,OLP161019,27.7,35,6.28,96.7,8.06,4.35,4.35,4.35
yes,yes,yes,no,no,10,Polanui,LLHS,,,,OSF,OSF161019,2027,Olowalu Pier,2016-10-19,10:37,,,,,,,,,,OSF161019,27.4,34.9,6.65,102,8.12,2.94,2.94,2.94
yes,yes,yes,no,no,11,Polanui,LLHS,,,,PFF,PFF161102,2022,505 Front St,2016-11-02,08:20,,,,,,,,,,PFF161102,25.6,32.8,5.88,86,7.99,5.64,5.64,5.64
yes,yes,yes,no,no,11,Polanui,LLHS,,,,PLH,PLH161102,2023,Lindsey Hale,2016-11-02,08:56,,,,,,,,,,PLH161102,26.2,34,5.52,82.2,8.02,12.7,12.7,12.7
yes,yes,yes,no,no,11,Polanui,LLHS,,,,PLT,PLT161102,2024,Lahaina Town,2016-11-02,09:17,,,,,,,,,,PLT161102,26.8,33.7,5.38,80.9,7.98,4.18,4.18,4.18
yes,yes,yes,no,no,11,Polanui,LLHS,,,,PPU,PPU161102,2025,Puamana,2016-11-02,09:52,,,,,,,,,,PPU161102,26.7,34.5,6.83,103,8.17,1.86,1.86,1.86
yes,yes,yes,no,no,11,Polanui,LLHS,,,,OLP,OLP161102,2072,Launiupoko,2016-11-02,10:17,,,,,,,,,,OLP161102,26.5,34.5,6.9,103.8,8.13,1.62,1.62,1.62
yes,yes,yes,no,no,11,Polanui,LLHS,,,,OSF,OSF161102,2027,Olowalu Pier,2016-11-02,10:46,,,,,,,,,,OSF161102,26.3,34.8,6.83,102.6,8.07,1.75,1.75,1.75
yes,yes,yes,no,no,12,Polanui,LLHS,,,,PFF,PFF161116,2022,505 Front St,2016-11-16,08:16,,,,,,,,,,PFF161116,26.1,33.7,6.2,92.1,8.05,7.39,7.39,7.39
yes,yes,yes,no,no,12,Polanui,LLHS,,,,PLH,PLH161116,2023,Lindsey Hale,2016-11-16,08:45,,,,,,,,,,PLH161116,26.4,34.1,5.53,82.9,7.98,14.03,14.03,14.03
yes,yes,yes,no,no,12,Polanui,LLHS,,,,PLT,PLT161116,2024,Lahaina Town,2016-11-16,09:06,,,,,,,,,,PLT161116,26.5,34.3,5.6,84,8.03,10.87,10.87,10.87
yes,yes,yes,no,no,12,Polanui,LLHS,,,,PPU,PPU161116,2025,Puamana,2016-11-16,09:30,,,,,,,,,,PPU161116,26.6,34.4,6.73,101.2,8.16,2.04,2.04,2.04
yes,yes,yes,no,no,12,Polanui,LLHS,,,,OLP,OLP161116,2072,Launiupoko,2016-11-16,09:52,,,,,,,,,,OLP161116,26.7,34.7,6.67,100.7,8.11,3.33,3.33,3.33
yes,yes,yes,no,no,12,Polanui,LLHS,,,,OSF,OSF161116,2027,Olowalu Pier,2016-11-16,10:15,,,,,,,,,,OSF161116,26.8,34.7,#N/A,106.9,8.11,4.37,4.37,4.37
yes,yes,yes,no,no,13,Polanui,LLHS,,,,PFF,PFF161130,2022,505 Front St,2016-11-30,08:24,,,,,,,,,,PFF161130,25,34,6.35,92.8,8.07,9.3,9.3,9.3
yes,yes,yes,no,no,13,Polanui,LLHS,,,,PLH,PLH161130,2023,Lindsey Hale,2016-11-30,08:51,,,,,,,,,,PLH161130,25,33.9,6.24,91.2,8.01,9.44,9.44,9.44
yes,yes,yes,no,no,13,Polanui,LLHS,,,,PLT,PLT161130,2024,Lahaina Town,2016-11-30,09:12,,,,,,,,,,PLT161130,25,34,6.2,90.5,7.95,12.5,12.5,12.5
yes,yes,yes,no,no,13,Polanui,LLHS,,,,PPU,PPU161130,2025,Puamana,2016-11-30,09:40,,,,,,,,,,PPU161130,25.4,33.9,6.84,100.6,8.1,2.02,2.02,2.02
yes,yes,yes,no,no,13,Polanui,LLHS,,,,OLP,OLP161130,2072,Launiupoko,2016-11-30,10:01,,,,,,,,,,OLP161130,24.5,34.5,7.13,103.6,8.04,1.51,1.51,1.51
yes,yes,yes,no,no,13,Polanui,LLHS,,,,OSF,OSF161130,2027,Olowalu Pier,2016-11-30,10:25,,,,,,,,,,OSF161130,24.7,34.8,7.37,108,8.13,2.42,2.42,2.42
yes,yes,yes,no,no,14,Polanui,LLHS,,,,PFF,PFF161214,2022,505 Front St,2016-12-14,08:16,,,,,,,,,,PFF161214,24.2,34.8,6.56,95.1,8.03,4.31,4.31,4.31
yes,yes,yes,no,no,14,Polanui,LLHS,,,,PLH,PLH161214,2023,Lindsey Hale,2016-12-14,08:45,,,,,,,,,,PLH161214,23.7,33.1,6.65,94.7,7.96,14.27,14.27,14.27
yes,yes,yes,no,no,14,Polanui,LLHS,,,,PLT,PLT161214,2024,Lahaina Town,2016-12-14,09:18,,,,,,,,,,PLT161214,24,33.8,5.93,85.3,7.94,7.5,7.5,7.5
yes,yes,yes,no,no,14,Polanui,LLHS,,,,PPU,PPU161214,2025,Puamana,2016-12-14,09:35,,,,,,,,,,PPU161214,24.9,34.4,6.95,101.8,8.08,2.72,2.72,2.72
yes,yes,yes,no,no,14,Polanui,LLHS,,,,OLP,OLP161214,2072,Launiupoko,2016-12-14,09:54,,,,,,,,,,OLP161214,24.9,34.6,7.02,103,8.13,1.99,1.99,1.99
yes,yes,yes,no,no,14,Polanui,LLHS,,,,OSF,OSF161214,2027,Olowalu Pier,2016-12-14,10:16,,,,,,,,,,OSF161214,24.7,34.8,6.68,97.7,8.08,4.1,4.1,4.1
yes,yes,yes,no,no,15,Polanui,LLHS,,,,PFF,PFF170104,2022,505 Front St,2017-01-04,08:15,,,,,,,,,,PFF170104,23.4,34.1,6.72,95.6,8.08,5.57,5.57,5.57
yes,yes,yes,no,no,15,Polanui,LLHS,,,,PLH,PLH170104,2023,Lindsey Hale,2017-01-04,08:42,,,,,,,,,,PLH170104,23.3,34.7,6.77,96.4,8.07,8.92,8.92,8.92
yes,yes,yes,no,no,15,Polanui,LLHS,,,,PLT,PLT170104,2024,Lahaina Town,2017-01-04,09:03,,,,,,,,,,PLT170104,23.7,34.6,6.22,89.4,8.05,35.3,35.3,35.3
yes,yes,yes,no,no,15,Polanui,LLHS,,,,PPU,PPU170104,2025,Puamana,2017-01-04,09:32,,,,,,,,,,PPU170104,24.1,34.9,6.85,99.2,8.11,2.7,2.7,2.7
yes,yes,yes,no,no,15,Polanui,LLHS,,,,OLP,OLP170104,2072,Launiupoko,2017-01-04,09:58,,,,,,,,,,OLP170104,24.3,35.1,6.92,100.6,8.12,5.01,5.01,5.01
yes,yes,yes,no,no,15,Polanui,LLHS,,,,OSF,OSF170104,2027,Olowalu Pier,2017-01-04,10:24,,,,,,,,,,OSF170104,24.3,35,7.46,108.5,8.13,2.18,2.18,2.18
yes,yes,yes,no,no,16,Polanui,LLHS,,,,PFF,PFF170125,2022,505 Front St,2017-01-25,08:22,,,,,,,,,,PFF170125,23.8,35.2,6.16,88.5,7.87,6.31,6.31,6.31
yes,yes,yes,no,no,16,Polanui,LLHS,,,,PLH,PLH170125,2023,Lindsey Hale,2017-01-25,08:50,,,,,,,,,,PLH170125,23.8,34.8,6.22,89.5,7.96,3.53,3.53,3.53
yes,yes,yes,no,no,16,Polanui,LLHS,,,,PLT,PLT170125,2024,Lahaina Town,2017-01-25,09:16,,,,,,,,,,PLT170125,24.3,34.9,6.47,93.7,8,1.7,1.7,1.7
yes,yes,yes,no,no,16,Polanui,LLHS,,,,PPU,PPU170125,2025,Puamana,2017-01-25,09:45,,,,,,,,,,PPU170125,24.8,34.9,6.79,99.1,8.06,1.92,1.92,1.92
yes,yes,yes,no,no,16,Polanui,LLHS,,,,OLP,OLP170125,2072,Launiupoko,2017-01-25,10:07,,,,,,,,,,OLP170125,24.6,35.1,6.79,98.9,8.04,2.06,2.06,2.06
yes,yes,yes,no,no,16,Polanui,LLHS,,,,OSF,OSF170125,2027,Olowalu Pier,2017-01-25,10:30,,,,,,,,,,OSF170125,24.7,35.2,6.46,94.3,7.9,1.21,1.21,1.21
yes,yes,yes,no,no,17,Polanui,LLHS,,,,PFF,PFF170215,2022,505 Front St,2017-02-15,08:33,,,,,,,,,,PFF170215,24.9,33.8,6.38,93.1,8.1,4.18,4.18,4.18
yes,yes,yes,no,no,17,Polanui,LLHS,,,,PLH,PLH170215,2023,Lindsey Hale,2017-02-15,08:45,,,,,,,,,,PLH170215,24.9,34.1,6.2,90.5,8.07,10.7,10.7,10.7
yes,yes,yes,no,no,17,Polanui,LLHS,,,,PLT,PLT170215,2024,Lahaina Town,2017-02-15,09:03,,,,,,,,,,PLT170215,24.9,34.4,5.93,86.7,8.07,8.65,8.65,8.65
yes,yes,yes,no,no,17,Polanui,LLHS,,,,PPU,PPU170215,2025,Puamana,2017-02-15,09:30,,,,,,,,,,PPU170215,25.1,34.9,6.86,100.8,8.19,3.12,3.12,3.12
yes,yes,yes,no,no,17,Polanui,LLHS,,,,OLP,OLP170215,2072,Launiupoko,2017-02-15,09:47,,,,,,,,,,OLP170215,25.2,34.9,6.79,100,8.13,5.91,5.91,5.91
yes,yes,yes,no,no,17,Polanui,LLHS,,,,OSF,OSF170215,2027,Olowalu Pier,2017-02-15,10:11,,,,,,,,,,OSF170215,25.1,34.9,6.59,96.8,8.1,4.16,4.16,4.16
yes,yes,yes,no,no,18,Polanui,LLHS,,,,PFF,PFF170308,2022,505 Front St,2017-03-08,08:30,,,,,,,,,,PFF170308,24.5,34,6.33,91.8,8.1,1.81,1.81,1.81
yes,yes,yes,no,no,18,Polanui,LLHS,,,,PLH,PLH170308,2023,Lindsey Hale,2017-03-08,08:59,,,,,,,,,,PLH170308,24.6,33.9,6.13,88.8,8.1,7.56,7.56,7.56
yes,yes,yes,no,no,18,Polanui,LLHS,,,,PLT,PLT170308,2024,Lahaina Town,2017-03-08,09:24,,,,,,,,,,PLT170308,24.6,34.2,6.42,93.4,8.11,3.03,3.03,3.03
yes,yes,yes,no,no,18,Polanui,LLHS,,,,PPU,PPU170308,2025,Puamana,2017-03-08,09:54,,,,,,,,,,PPU170308,25.2,34.5,6.93,102.1,8.2,2.18,2.18,2.18
yes,yes,yes,no,no,18,Polanui,LLHS,,,,OLP,OLP170308,2072,Launiupoko,2017-03-08,10:24,,,,,,,,,,OLP170308,25.7,34.5,7.07,104.9,8.21,1.68,1.68,1.68
yes,yes,yes,no,no,18,Polanui,LLHS,,,,OSF,OSF170308,2027,Olowalu Pier,2017-03-08,11:00,,,,,,,,,,OSF170308,26,34.5,7.35,109.4,8.13,1.67,1.67,1.67
yes,yes,yes,no,no,19,Polanui,LLHS,,,,PFF,PFF170329,2022,505 Front St,2017-03-29,08:21,,,,,,,,,,PFF170329,25.4,33.1,6.23,90.8,8.07,11.33,11.33,11.33
yes,yes,yes,no,no,19,Polanui,LLHS,,,,PLH,PLH170329,2023,Lindsey Hale,2017-03-29,08:50,,,,,,,,,,PLH170329,26,33.4,5.72,84.5,8.06,7.19,7.19,7.19
yes,yes,yes,no,no,19,Polanui,LLHS,,,,PLT,PLT170329,2024,Lahaina Town,2017-03-29,09:10,,,,,,,,,,PLT170329,26.3,33.1,5.93,87.9,8.07,7.53,7.53,7.53
yes,yes,yes,no,no,19,Polanui,LLHS,,,,PPU,PPU170329,2025,Puamana,2017-03-29,09:36,,,,,,,,,,PPU170329,26.2,33.9,6.78,100.8,8.18,2.5,2.5,2.5
yes,yes,yes,no,no,19,Polanui,LLHS,,,,OLP,OLP170329,2072,Launiupoko,2017-03-29,10:10,,,,,,,,,,OLP170329,27.3,34.3,6.7,101.8,8.16,3.99,3.99,3.99
yes,yes,yes,no,no,19,Polanui,LLHS,,,,OSF,OSF170329,2027,Olowalu Pier,2017-03-29,10:36,,,,,,,,,,OSF170329,26.8,34,6.95,104.5,8.13,2.18,2.18,2.18
yes,yes,yes,no,no,20,Polanui,LLHS,,,,PFF,PFF170419,2022,505 Front St,2017-04-19,08:18,,,,,,,,,,PFF170419,25.8,32.7,6.44,94.7,8.12,2.18,2.18,2.18
yes,yes,yes,no,no,20,Polanui,LLHS,,,,PLH,PLH170419,2023,Lindsey Hale,2017-04-19,08:45,,,,,,,,,,PLH170419,25.9,33.7,6.43,95.3,8.11,9.15,9.15,9.15
yes,yes,yes,no,no,20,Polanui,LLHS,,,,PLT,PLT170419,2024,Lahaina Town,2017-04-19,09:06,,,,,,,,,,PLT170419,26.2,33,6.24,92.6,8.1,11.37,11.37,11.37
yes,yes,yes,no,no,20,Polanui,LLHS,,,,PPU,PPU170419,2025,Puamana,2017-04-19,09:30,,,,,,,,,,PPU170419,26.1,34.1,6.63,99,8.18,1.64,1.64,1.64
yes,yes,yes,no,no,20,Polanui,LLHS,,,,OLP,OLP170419,2072,Launiupoko,2017-04-19,10:00,,,,,,,,,,OLP170419,26.7,34.4,6.74,101.8,8.18,2.53,2.53,2.53
yes,yes,yes,no,no,20,Polanui,LLHS,,,,OSF,OSF170419,2027,Olowalu Pier,2017-04-19,10:25,,,,,,,,,,OSF170419,27,34.3,6.97,105.7,8.15,1.5,1.5,1.5
yes,yes,yes,no,no,21,Polanui,LLHS,,,,PFF,PFF170510,2022,505 Front St,2017-05-10,08:17,,,,,,,,,,PFF170510,25.5,34.2,6.46,95.6,8.14,2.24,2.24,2.24
yes,yes,yes,no,no,21,Polanui,LLHS,,,,PLH,PLH170510,2023,Lindsey Hale,2017-05-10,08:40,,,,,,,,,,PLH170510,25.8,33.9,6.24,92.7,8.14,2,2,2
yes,yes,yes,no,no,21,Polanui,LLHS,,,,PLT,PLT170510,2024,Lahaina Town,2017-05-10,08:59,,,,,,,,,,PLT170510,25.9,34.7,6.33,94.4,8.14,1.57,1.57,1.57
yes,yes,yes,no,no,21,Polanui,LLHS,,,,PPU,PPU170510,2025,Puamana,2017-05-10,09:31,,,,,,,,,,PPU170510,26.1,34.3,6.91,103.2,8.23,1.67,1.67,1.67
yes,yes,yes,no,no,21,Polanui,LLHS,,,,OLP,OLP170510,2072,Launiupoko,2017-05-10,09:53,,,,,,,,,,OLP170510,26.8,34.6,6.94,105,8.18,2.19,2.19,2.19
yes,yes,yes,no,no,21,Polanui,LLHS,,,,OSF,OSF170510,2027,Olowalu Pier,2017-05-10,10:19,,,,,,,,,,OSF170510,26.8,34.4,7.23,109.7,8.18,1.74,1.74,1.74
yes,yes,yes,no,no,22,Polanui,LLHS,,,,PFF,PFF170531,2022,505 Front St,2017-05-31,08:12,,,,,,,,,,PFF170531,26.4,34,6.21,92.8,8.07,3.94,3.94,3.94
yes,yes,yes,no,no,22,Polanui,LLHS,,,,PLH,PLH170531,2023,Lindsey Hale,2017-05-31,08:41,,,,,,,,,,PLH170531,26.5,34.4,6.32,94.9,8.06,5.14,5.14,5.14
yes,yes,yes,no,no,22,Polanui,LLHS,,,,PLT,PLT170531,2024,Lahaina Town,2017-05-31,09:02,,,,,,,,,,PLT170531,26.8,33.7,6.01,90.3,8.05,13.23,13.23,13.23
yes,yes,yes,no,no,22,Polanui,LLHS,,,,PPU,PPU170531,2025,Puamana,2017-05-31,09:25,,,,,,,,,,PPU170531,26.9,34.6,6.73,101.8,8.15,3.1,3.1,3.1
yes,yes,yes,no,no,22,Polanui,LLHS,,,,OLP,OLP170531,2072,Launiupoko,2017-05-31,09:48,,,,,,,,,,OLP170531,26.9,34.8,6.8,103.2,8.12,2.59,2.59,2.59
yes,yes,yes,no,no,22,Polanui,LLHS,,,,OSF,OSF170531,2027,Olowalu Pier,2017-05-31,10:10,,,,,,,,,,OSF170531,27.1,34.7,7.27,110.5,8.1,2.31,2.31,2.31
yes,yes,yes,no,no,23,Polanui,LLHS,,,,PFF,PFF170621,2022,505 Front St,2017-06-21,08:15,,,,,,,,,,PFF170621,26.9,33.4,6.47,97.6,8.08,4.88,4.88,4.88
yes,yes,yes,no,no,23,Polanui,LLHS,,,,PLH,PLH170621,2023,Lindsey Hale,2017-06-21,08:43,,,,,,,,,,PLH170621,26.7,33.9,6.32,95.2,8.08,2.45,2.45,2.45
yes,yes,yes,no,no,23,Polanui,LLHS,,,,PLT,PLT170621,2024,Lahaina Town,2017-06-21,09:03,,,,,,,,,,PLT170621,27.3,34.5,6.85,104.6,8.1,2.24,2.24,2.24
yes,yes,yes,no,no,23,Polanui,LLHS,,,,PPU,PPU170621,2025,Puamana,2017-06-21,09:30,,,,,,,,,,PPU170621,27.3,34.5,6.69,102.2,8.17,3.96,3.96,3.96
yes,yes,yes,no,no,23,Polanui,LLHS,,,,OLP,OLP170621,2072,Launiupoko,2017-06-21,09:50,,,,,,,,,,OLP170621,27.4,34.5,6.86,104.9,8.2,1.8,1.8,1.8
yes,yes,yes,no,no,23,Polanui,LLHS,,,,OSF,OSF170621,2027,Olowalu Pier,2017-06-21,10:12,,,,,,,,,,OSF170621,27.6,34.6,6.94,106.5,8.16,3.59,3.59,3.59
yes,yes,yes,no,no,24,Polanui,LLHS,,,,PFF,PFF170712,2022,505 Front St,2017-07-12,08:15,,,,,,,,,,PFF170712,27.1,34.5,5.66,86.1,8.06,2.14,2.14,2.14
yes,yes,yes,no,no,24,Polanui,LLHS,,,,PLH,PLH170712,2023,Lindsey Hale,2017-07-12,08:35,,,,,,,,,,PLH170712,27.1,34.1,5.47,82.9,8.06,4.57,4.57,4.57
